time,Compressor_mdot,Compressor_power_consumed,Compressor_h,Compressor_speed_rpm,Comp-Cond_p,Comp-Cond_t,Comp-Cond_h,Cond_mdot,Cond_qdot,Cond_h,Cond_t_secondary_in,Cond_t_secondary_out,Cond-Valve_p,Cond-Valve_t,Cond-Valve_h,MainValve_mdot,MainValve_h,Valve-Evap_p,Valve-Evap_t,Valve-Evap_h,Evap_mdot,Evap_qdot,Evap_h,Evap_t_secondary_in,Evap_t_secondary_out,Evap-Comp_p,Evap-Comp_t,Evap-Comp_h
82.68000000000539,0.5643751685284077,13321.604780219395,365877.5829770907,4000,1288925.0721020591,322.26782073694307,365877.38691927306,0.5643746191946253,-16313.774044853972,336971.45290459524,298.15,305.9540469494366,1282417.0549106202,322.06767008682596,336971.0247670705,0.564375262979291,336971.0209545158,350379.60138736287,278.2092615121188,336970.8927454186,0.564375357062458,2992.647040176948,342273.47155100986,283.15,279.91934490168836,324897.810366522,276.05551692110726,342273.419662147
82.6900000000054,0.5643751738135991,13321.605107944926,365877.585341385,4000,1288925.1057351436,322.2678217693493,365877.3894983198,0.5643746250815502,-16313.773787506478,336971.4562439717,298.15,305.95404823890965,1282417.0884795918,322.06767112118564,336971.02857544896,0.5643752681610349,336971.0247670705,350379.6090909939,278.2092621448138,336970.89669841446,0.5643753621411252,2992.645931746708,342273.4734966286,283.15,279.91934490168836,324897.8174947007,276.05551754142095,342273.4216646034
82.7000000000054,0.5643751790930023,13321.605435311532,365877.58770308946,4000,1288925.1393313908,322.2678228006248,365877.3920745419,0.5643746309620258,-16313.773530439676,336971.45957969216,298.15,305.9540495269852,1282417.1220117882,322.06767215441215,336971.0323796556,0.5643752733371019,336971.02857544896,350379.616786186,278.2092627768157,336970.9006470798,0.5643753672142428,2992.6448245304728,342273.4754401164,283.15,279.91934490168836,324897.8246150711,276.05551816105515,342273.4236648662
82.71000000000541,0.5643751843666205,13321.605762319487,365877.5900622068,4000,1288925.1728908287,322.26782383077034,365877.3946479417,0.5643746368364108,-16313.773273639583,336971.46291180333,298.15,305.9540508136433,1282417.1555072628,322.06767318650714,336971.03617969534,0.564375278507497,336971.0323796556,350379.6244729489,278.2092634081253,336970.90459142,0.5643753722818019,2992.643718527148,342273.4773814751,283.15,279.91934490168836,324897.8317276431,276.0555187800107,342273.4256629382
82.72000000000541,0.564375189634465,13321.606088969254,365877.59241874015,4000,1288925.206413518,322.2678248597878,365877.3972185231,0.5643746427036046,-16313.773017127061,336971.4662402144,298.15,305.9540520988962,1282417.188966036,322.0676742174712,336971.0399755722,0.5643752836722341,336971.03617969534,350379.63215129235,278.2092640387434,336970.9085314396,0.564375377343797,2992.642613735342,342273.47932070756,283.15,279.91934490168836,324897.8388324238,276.0555193982882,342273.42765882163
82.73000000000542,0.564375194896535,13321.606415261242,365877.5947726925,4000,1288925.2398994716,322.26782588767765,365877.39978628827,0.5643746485653621,-16313.772760891596,336971.4695650377,298.15,305.95405338272326,1282417.2223881742,322.06767524730645,336971.0437672919,0.5643752888313059,336971.0399755722,350379.6398212245,278.2092646686707,336970.91246714315,0.5643753824002565,2992.6415101536604,342273.48125781567,283.15,279.91934490168836,324897.8459294224,276.0555200158885,342273.42965251877
82.74000000000542,0.5643752001528445,13321.606741195877,365877.59712406626,4000,1288925.2733487654,322.26782691444214,365877.40235124115,0.5643746544193811,-16313.772504954386,336971.47288611997,298.15,305.95405466515706,1282417.2557736847,322.06767627601306,336971.0475548573,0.5643752939847355,336971.0437672919,350379.6474827559,278.209265297908,336970.91639853583,0.5643753874511671,2992.640407780911,342273.48319280194,283.15,279.91934490168836,324897.85301864665,276.0555206328122,342273.4316440321
82.75000000000543,0.5643752054033936,13321.607066773364,365877.59947286436,4000,1288925.3067613998,322.2678279400813,365877.4049133844,0.5643746602686184,-16313.77224928508,336971.47620367026,298.15,305.95405594618273,1282417.2891226432,322.06767730359337,336971.05133827473,0.5643752991325104,336971.0475548573,350379.6551358954,278.2092659264561,336970.92032562214,0.5643753924965578,2992.639306615601,342273.48512566875,283.15,279.91934490168836,324897.8601001058,276.0555212490602,342273.4336333638
82.76000000000543,0.5643752106481953,13321.607391994366,365877.6018190895,4000,1288925.3401374526,322.2678289645975,365877.4074727212,0.5643746661098198,-16313.77199389857,336971.47951749834,298.15,305.95405722581154,1282417.3224350517,322.06767833004744,336971.05511754676,0.5643753042746563,336971.05133827473,350379.66278065153,278.20926655431566,336970.9242484067,0.5643753975364227,2992.6382066564374,342273.4870564182,283.15,279.91934490168836,324897.8671738089,276.0555218646332,342273.435620517
82.77000000000544,0.5643752158872474,13321.607716859031,365877.60416274524,4000,1288925.373476927,322.2678299879909,365877.41002925456,0.5643746719462781,-16313.771738785988,336971.4828277916,298.15,305.95405850403347,1282417.355710989,322.0676793553777,336971.0588926798,0.56437530941116,336971.05511754676,350379.6704170337,278.20926718148746,336970.92816689424,0.5643754025707548,2992.637107902226,342273.488985053,283.15,279.91934490168836,324897.8742397626,276.0555224795318,342273.4376054929
82.78000000000544,0.5643752211205653,13321.608041367854,365877.60650383297,4000,1288925.4067798993,322.2678310102638,365877.4125829878,0.5643746777747058,-16313.771483957453,336971.4861343668,298.15,305.9540597808612,1282417.388950467,322.06768037958454,336971.0626636775,0.5643753145420463,336971.0588926798,350379.67804505106,278.20926780797225,336970.9320810895,0.5643754075995846,2992.636010351575,342273.490911575,283.15,279.91934490168836,324897.8812979766,276.0555230937569,342273.4395882944
82.79000000000545,0.5643752263481476,13321.608365521228,365877.6088423564,4000,1288925.440046382,322.2678320314166,365877.41513392364,0.5643746835979246,-16313.771229402619,336971.4894373901,298.15,305.9540610562906,1282417.4221535404,322.0676814026696,336971.06643054454,0.5643753196673065,336971.0626636775,350379.68566471327,278.20926843377083,336970.9359909973,0.5643754126229014,2992.6349140031903,342273.49283598684,283.15,279.91934490168836,324897.8883484601,276.05552370730925,342273.4415689247
82.80000000000545,0.5643752315700037,13321.608689319439,365877.6111783188,4000,1288925.4732764293,322.26783305145096,365877.41768206505,0.564374689414092,-16313.770975126034,336971.49273676187,298.15,305.9540623303122,1282417.455320241,322.0676824246339,336971.0701932855,0.5643753247869551,336971.06643054454,350379.69327602873,278.2092690588839,336970.939896622,0.5643754176407102,2992.6338188556797,342273.4947582908,283.15,279.91934490168836,324897.89539122017,276.0555243201895,342273.443547385
82.81000000000546,0.5643752367861404,13321.609012763143,365877.61351172224,4000,1288925.5064700781,322.267834070368,365877.4202274158,0.5643746952241963,-16313.77072113878,336971.49603251595,298.15,305.9540636029475,1282417.4884506105,322.06768344547874,336971.07395190455,0.5643753299009937,336971.0701932855,350379.70087900764,278.20926968331224,336970.94379796874,0.5643754226530252,2992.6327249078495,342273.49667848897,283.15,279.91934490168836,324897.90242626605,276.0555249323984,342273.44552367827
82.82000000000546,0.5643752419965646,13321.609335852501,365877.61584256974,4000,1288925.5396273637,322.2678350881688,365877.4227699781,0.5643747010280068,-16313.77046742051,336971.49932468036,298.15,305.9540648741913,1282417.521544692,322.0676844652054,336971.07770640653,0.5643753350094312,336971.07395190455,350379.7084736577,278.20927030705656,336970.9476950417,0.5643754276598539,2992.631632158208,342273.49859658384,283.15,279.91934490168836,324897.9094536057,276.05552554393665,342273.4474978066
82.83000000000547,0.5643752472012811,13321.609658587988,365877.618170864,4000,1288925.572748334,322.26783610485484,365877.42530975566,0.5643747068252036,-16313.770213977477,336971.50261322997,298.15,305.95406614402384,1282417.5546025203,322.06768548381496,336971.0814567959,0.564375340112274,336971.07770640653,350379.71605999,278.2092709301177,336970.9515878464,0.5643754326611928,2992.63054060566,342273.50051257765,283.15,279.91934490168836,324897.91647324734,276.055526154805,342273.4494697725
82.84000000000547,0.5643752524002934,13321.60998096995,365877.62049660797,4000,1288925.6058330187,322.26783712042703,365877.42784675094,0.5643747126163667,-16313.769960830996,336971.5058981603,298.15,305.9540674124752,1282417.5876241417,322.06768650130886,336971.0852030773,0.5643753452095249,336971.0814567959,350379.72363801074,278.20927155249626,336970.9554763863,0.564375437657072,2992.6294502486144,342273.5024264727,283.15,279.91934490168836,324897.92348520097,276.05552676500434,342273.45143957867
82.85000000000548,0.564375257593614,13321.61030299868,365877.62281980435,4000,1288925.6388814677,322.2678381348869,365877.43038096745,0.564374718400772,-16313.76970795185,336971.5091794885,298.15,305.9540686795449,1282417.6206095873,322.06768751768806,336971.0889452548,0.5643753503011952,336971.0852030773,350379.73120773176,278.20927217419313,336970.95936066704,0.5643754426474477,2992.628361086176,342273.5043382715,283.15,279.91934490168836,324897.93048947304,276.0555273745352,342273.4534072268
82.86000000000548,0.5643752627812456,13321.610624674775,365877.62514045584,4000,1288925.6718937126,322.26783914823545,365877.4329124079,0.564374724179243,-16313.769455342026,336971.5124572568,298.15,305.95406994522216,1282417.6535589031,322.067688532954,336971.0926833333,0.5643753553872858,336971.0889452548,350379.7387691613,278.209272795209,336970.9632406931,0.5643754476323772,2992.6272731166537,342273.506247976,283.15,279.91934490168836,324897.9374860734,276.0555279833984,342273.4553727197
82.87000000000549,0.5643752679631941,13321.61094599853,365877.6274585654,4000,1288925.7048697982,322.267840160474,365877.43544107553,0.5643747299511447,-16313.769203013293,336971.51573141455,298.15,305.9540712095056,1282417.6864721267,322.06768954710776,336971.0964173171,0.5643753604678065,336971.0926833333,350379.7463223084,278.20927341554466,336970.96711646894,0.564375452611843,2992.626186338853,342273.50815558876,283.15,279.91934490168836,324897.94447500986,276.0555285915947,342273.45733605995
82.8800000000055,0.5643752731394671,13321.611266970223,365877.62977413594,4000,1288925.7378097628,322.2678411716038,365877.4379669736,0.5643747357168066,-16313.76895096838,336971.51900197694,298.15,305.95407247241627,1282417.719349298,322.06769056015065,336971.1001472107,0.5643753655427615,336971.0964173171,350379.7538671819,278.2092740352008,336970.97098799935,0.5643754575858569,2992.625100751482,342273.5100611118,283.15,279.91934490168836,324897.9514562909,276.05552919912475,342273.4592972495
